y,x,orig,max3x3,delta_max,min3x3,delta_min,boundary_max_minus_min
308,421,205,254,49,0,-205,254
297,396,199,254,55,0,-199,254
340,498,173,253,80,0,-173,253
314,434,218,253,35,0,-218,253
302,407,171,252,81,0,-171,252
485,60,136,252,116,0,-136,252
486,533,115,252,137,0,-115,252
405,515,172,252,80,0,-172,252
57,374,173,251,78,0,-173,251
324,457,161,251,90,0,-161,251
345,509,191,251,60,0,-191,251
507,55,163,251,88,0,-163,251
341,500,182,251,69,0,-182,251
423,520,181,251,70,0,-181,251
272,368,151,251,100,0,-151,251
325,460,220,251,31,0,-220,251
351,78,200,250,50,0,-200,250
399,72,186,250,64,0,-186,250
63,378,186,250,64,0,-186,250
552,536,193,250,57,0,-193,250
372,78,203,250,47,0,-203,250
279,373,187,252,65,2,-185,250
360,78,205,250,45,0,-205,250
68,380,149,250,101,0,-149,250
401,514,205,250,45,0,-205,250
454,526,165,249,84,0,-165,249
314,433,182,249,67,0,-182,249
318,443,150,249,99,0,-150,249
307,418,149,249,100,0,-149,249
308,420,162,249,87,0,-162,249
481,61,186,252,66,3,-183,249
459,527,136,249,113,0,-136,249
530,54,133,249,116,0,-133,249
319,446,181,249,68,0,-181,249
508,55,148,249,101,0,-148,249
297,395,154,249,95,0,-154,249
303,409,170,248,78,0,-170,248
319,283,192,248,56,0,-192,248
325,459,173,248,75,0,-173,248
379,514,192,248,56,0,-192,248
499,56,192,248,56,0,-192,248
15,318,182,248,66,0,-182,248
270,366,131,247,116,0,-131,247
296,392,122,247,125,0,-122,247
335,485,160,247,87,0,-160,247
322,279,181,247,66,0,-181,247
359,78,191,247,56,0,-191,247
402,514,173,247,74,0,-173,247
427,521,144,247,103,0,-144,247
313,430,140,247,107,0,-140,247
470,530,193,247,54,0,-193,247
480,532,131,247,116,0,-131,247
389,77,139,246,107,0,-139,246
329,271,156,246,90,0,-156,246
65,379,159,246,87,0,-159,246
420,519,180,246,66,0,-180,246
563,538,142,252,110,6,-136,246
377,78,188,246,58,0,-188,246
544,51,187,246,59,0,-187,246
400,72,165,246,81,0,-165,246
551,50,167,246,79,0,-167,246
373,78,189,246,57,0,-189,246
558,537,134,246,112,0,-134,246
475,531,157,246,89,0,-157,246
553,536,164,246,82,0,-164,246
328,272,160,246,86,0,-160,246
427,67,205,250,45,5,-200,245
500,56,173,245,72,0,-173,245
398,514,178,245,67,0,-178,245
428,67,186,248,62,3,-183,245
525,55,147,245,98,0,-147,245
352,78,182,245,63,0,-182,245
449,525,182,245,63,0,-182,245
271,232,170,249,79,4,-166,245
424,520,147,245,98,0,-147,245
348,510,126,244,118,0,-126,244
487,533,72,244,172,0,-72,244
358,78,180,244,64,0,-180,244
323,278,161,244,83,0,-161,244
406,515,134,244,110,0,-134,244
561,49,133,244,111,0,-133,244
28,351,150,243,93,0,-150,243
414,71,137,252,115,9,-128,243
139,383,127,243,116,0,-127,243
509,55,137,243,106,0,-137,243
15,317,160,243,83,0,-160,243
536,53,93,243,150,0,-93,243
380,514,174,243,69,0,-174,243
376,78,184,243,59,0,-184,243
519,55,148,243,95,0,-148,243
375,78,189,243,54,0,-189,243
340,497,115,243,128,0,-115,243
47,367,175,243,68,0,-175,243
322,280,76,243,167,0,-76,243
374,78,185,243,58,0,-185,243
302,406,125,242,117,0,-125,242
447,66,149,248,99,6,-143,242
455,526,132,242,110,0,-132,242
450,525,171,242,71,0,-171,242
346,509,127,242,115,0,-127,242
449,65,166,253,87,11,-155,242
545,51,168,242,74,0,-168,242
482,61,145,245,100,3,-142,242
552,50,154,242,88,0,-154,242
460,527,95,242,147,0,-95,242
471,530,170,242,72,0,-170,242
324,277,147,242,95,0,-147,242
546,534,93,242,149,0,-93,242
326,460,93,241,148,0,-93,241
479,62,153,241,88,0,-153,241
429,67,164,244,80,3,-161,241
353,78,178,241,63,0,-178,241
541,533,105,241,136,0,-105,241
518,55,140,240,100,0,-140,240
58,374,111,240,129,0,-111,240
327,314,160,244,84,4,-156,240
357,78,171,240,69,0,-171,240
