y,x,orig,max3x3,delta_max,min3x3,delta_min,boundary_max_minus_min
308,421,205,254,49,0,-205,254
297,396,199,254,55,0,-199,254
314,434,218,253,35,0,-218,253
340,498,173,253,80,0,-173,253
302,407,171,252,81,0,-171,252
486,533,115,252,137,0,-115,252
485,60,136,252,116,0,-136,252
405,515,172,252,80,0,-172,252
507,55,163,251,88,0,-163,251
324,457,161,251,90,0,-161,251
423,520,181,251,70,0,-181,251
57,374,173,251,78,0,-173,251
272,368,151,251,100,0,-151,251
325,460,220,251,31,0,-220,251
345,509,191,251,60,0,-191,251
341,500,182,251,69,0,-182,251
279,373,187,252,65,2,-185,250
552,536,193,250,57,0,-193,250
360,78,205,250,45,0,-205,250
63,378,186,250,64,0,-186,250
401,514,205,250,45,0,-205,250
372,78,203,250,47,0,-203,250
68,380,149,250,101,0,-149,250
399,72,186,250,64,0,-186,250
351,78,200,250,50,0,-200,250
319,446,181,249,68,0,-181,249
454,526,165,249,84,0,-165,249
481,61,186,252,66,3,-183,249
530,54,133,249,116,0,-133,249
508,55,148,249,101,0,-148,249
314,433,182,249,67,0,-182,249
297,395,154,249,95,0,-154,249
307,418,149,249,100,0,-149,249
459,527,136,249,113,0,-136,249
318,443,150,249,99,0,-150,249
308,420,162,249,87,0,-162,249
319,283,192,248,56,0,-192,248
303,409,170,248,78,0,-170,248
325,459,173,248,75,0,-173,248
499,56,192,248,56,0,-192,248
15,318,182,248,66,0,-182,248
379,514,192,248,56,0,-192,248
335,485,160,247,87,0,-160,247
402,514,173,247,74,0,-173,247
270,366,131,247,116,0,-131,247
359,78,191,247,56,0,-191,247
470,530,193,247,54,0,-193,247
313,430,140,247,107,0,-140,247
427,521,144,247,103,0,-144,247
296,392,122,247,125,0,-122,247
